Report Date/Time: 11/03/2014 02:52 PM,,,,,Revised to Reflect Precinct Adjustment to LD 4 & LD 13,,,,,,,,Page Number 1,
,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,
,,,,,,,"2014 General Election - November 4, 2014",,,,,,,
,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,,
,,,,,,ACTIVE,,,,,,,,
,,Precincts,Date/Period,,,,,,,,,Other,TOTAL,
,,,,Americans ,,,,Democratic,Green,Libertarian,Republican,,,
,,,,,,1,,,,"4,378",42,"2,349",,
,,,Gila,,18,,,,,,,,"2,543","9,313"
,,,,,,2,,,,"23,060",447,"20,888",,
,,,Pinal,,51,,,,,,,,"26,908","71,305"
,,,,,69,,,,,,,,"29,451","80,618"
,,,,TOTALS,,3,,,,"27,438",489,"23,237",,
,,Legislative District 9,,,,,,,,,,,,
,,,,,,9,,,,"41,637","1,044","36,815",,
,,,Pima,,57,,,,,,,,"37,491","116,996"
,,,,,57,,,,,,,,"37,491","116,996"
,,,,TOTALS,,9,,,,"41,637","1,044","36,815",,
,,Legislative District 10,,,,,,,,,,,,
,,,,,,14,,,,"41,454",952,"37,788",,
,,,Pima,,49,,,,,,,,"37,198","117,406"
,,,,,49,,,,,,,,"37,198","117,406"
,,,,TOTALS,,14,,,,"41,454",952,"37,788",,
,,Legislative District 11,,,,,,,,,,,,
,,,,,,3,,,,"18,769",507,"29,855",,
,,,Pima,,34,,,,,,,,"23,109","72,243"
,,,,,,5,,,,"11,371",381,"15,395",,
,,,Pinal,,27,,,,,,,,"17,961","45,113"
,,,,,61,,,,,,,,"41,070","117,356"
,,,,TOTALS,,8,,,,"30,140",888,"45,250",,
,,Legislative District 12,,,,,,,,,,,,
,,,,,,12,,,,"24,018","1,079","59,722",,
,,,Maricopa,,34,,,,,,,,"44,579","129,410"
,,,,,,0,,,,231,12,549,,
,,,Pinal,,1,,,,,,,,476,"1,268"
,,,,,35,,,,,,,,"45,055","130,678"
,,,,TOTALS,,12,,,,"24,249","1,091","60,271",,
Report Date/Time: 11/03/2014 02:52 PM,,,,,,,Revised to Reflect Precinct Adjustment to LD 4 & LD 13,,,,,,,Page Number 4
